bytes,time,bytes_per_sec
8,0.000003,2775387.262200
16,0.000003,6072101.339124
32,0.000003,11820143.372963
64,0.000003,22612707.943728
128,0.000004,31350126.248175
256,0.000004,57462368.832281
512,0.000005,106490312.803729
1024,0.000006,184198966.247802
2048,0.000007,291263210.090872
4096,0.000008,487635014.163663
8192,0.000011,745185069.465831
16384,0.000017,979063339.497642
32768,0.000024,1368041820.672081
65536,0.000038,1728650531.365360
131072,0.000066,1984907331.850611
262144,0.000123,2139252539.595696
524288,0.000234,2236984889.120373
1048576,0.000459,2283445667.030622
2097152,0.000910,2305073341.020673
4194304,0.001811,2315576953.147313
8388608,0.003689,2273953285.104025
16777216,0.007584,2212229574.791765
33554432,0.015187,2209424050.223927
67108864,0.030353,2210928344.681491
